rank,clip_filename,duration_sec,silence_pct,hiss_ratio,harmonicity,quality_score,source_path
1,jarvis_ref_vm_001_0142620_0144330.wav,1.710000,1.492537,0.008868,0.600033,0.922384,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_001_0142620_0144330.wav
2,jarvis_ref_vm_027_0142620_0144330.wav,1.710000,1.492537,0.008868,0.600033,0.922384,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_027_0142620_0144330.wav
3,jarvis_ref_vm_002_0110360_0114420.wav,4.060000,8.074534,0.006525,0.746795,0.906979,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_002_0110360_0114420.wav
4,jarvis_ref_vm_028_0110360_0114420.wav,4.060000,8.074534,0.006525,0.746795,0.906979,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_028_0110360_0114420.wav
5,jarvis_ref_vm_003_0275290_0277980.wav,2.690000,7.547170,0.003449,0.657955,0.903414,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_003_0275290_0277980.wav
6,jarvis_ref_vm_029_0275290_0277980.wav,2.690000,7.547170,0.003449,0.657955,0.903414,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_029_0275290_0277980.wav
7,jarvis_ref_vm_004_0018180_0020740.wav,2.560000,3.960396,0.023741,0.809879,0.895025,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_004_0018180_0020740.wav
8,jarvis_ref_vm_030_0018180_0020740.wav,2.560000,3.960396,0.023741,0.809879,0.895025,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_030_0018180_0020740.wav
9,jarvis_ref_vm_031_0324270_0325820.wav,1.550000,3.278689,0.011860,0.594751,0.894926,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_031_0324270_0325820.wav
10,jarvis_ref_vm_005_0306980_0313130.wav,6.150000,9.795918,0.003991,0.607164,0.894581,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_005_0306980_0313130.wav
11,jarvis_ref_vm_032_0306980_0313130.wav,6.150000,9.795918,0.003991,0.607164,0.894581,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_032_0306980_0313130.wav
12,jarvis_ref_vm_006_0147330_0151400.wav,4.070000,9.937888,0.005929,0.780891,0.891467,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_006_0147330_0151400.wav
13,jarvis_ref_vm_033_0147330_0151400.wav,4.070000,9.937888,0.005929,0.780891,0.891467,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_033_0147330_0151400.wav
14,jarvis_ref_vm_034_0163070_0164740.wav,1.670000,7.692308,0.003880,0.684213,0.890648,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_034_0163070_0164740.wav
15,jarvis_ref_vm_007_0302200_0304500.wav,2.300000,8.791209,0.003215,0.626874,0.888608,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_007_0302200_0304500.wav
16,jarvis_ref_vm_035_0302200_0304500.wav,2.300000,8.791209,0.003215,0.626874,0.888608,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_035_0302200_0304500.wav
17,jarvis_ref_vm_036_0350440_0357310.wav,6.870000,12.454212,0.000755,0.708202,0.886449,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_036_0350440_0357310.wav
18,jarvis_ref_vm_084_0000070_0007070.wav,7.000000,10.394265,0.012234,0.623550,0.882748,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_084_0000070_0007070.wav
19,jarvis_ref_vm_008_0288970_0290940.wav,1.970000,9.090909,0.003380,0.693252,0.882154,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_008_0288970_0290940.wav
20,jarvis_ref_vm_037_0288970_0290940.wav,1.970000,9.090909,0.003380,0.693252,0.882154,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_037_0288970_0290940.wav
21,jarvis_ref_vm_009_0379260_0384160.wav,4.900000,8.717949,0.015556,0.606430,0.881331,/Users/dankerbadge/Documents/J.A.R.V.I.S/.jarvis/voice/training_assets/jarvis_actor_isolated_actor_match/clips/jarvis_ref_vm_009_0379260_0384160.wav
